First Name    , Last Name      , Organization
Aditya        , Sridhar        , University of Waterloo
Alireza M.    , Memarmoghadam  , University of Isfahan
Amartya       , Mukherjee      , University of Waterloo
Amir          , Shabani        , University of the Fraser Valley
Ashkan        , Ebadi          , National Research Council
Bavesh        , Balaji         , University of Waterloo
Chang         , Shu            , National Research Council of Canada
Chengzong     , Zhao           , University of Waterloo
Chi-en A.     , Tai            , University of Waterloo
Chun Cheng    , Feng           , University of Waterloo
Dawei         , Liang          , UT Austin
Denis         , Laurendeau     , Laval University
Desiree       , D'Mello        , Lakehead University
Dheeraj       , Khanna         , University of Waterloo
E. Zhixuan    , Zeng           , University of Waterloo
Ehsan         , Zare Bidaki    , University of Waterloo
Garima        , Bajwa          , Lakehead University
Gautham       , Vinod          , Purdue University
Grant         , Sinha          , University of Waterloo
Hadi          , Sepanj         , University of Waterloo
Harish        , Prakash        , University of Waterloo
Hayden        , Gunraj         , University of Waterloo
János         , Horváth        , Purdue University
Jerrin        , Bright         , University of Waterloo
Jiangpeng     , He             , Purdue University
Jinman        , Park           , University of Waterloo
John W.       , Thomson        , University of Waterloo
Jonathan      , Chu            , University of Waterloo
Jose D.       , Bermudez Castro, mcmaster
Jun           , Liu            , Department of Applied Mathematics - University of Waterloo
Ken M.        , Nsiempba       , University of Waterloo
Kimathi       , Kaai           , University of Waterloo
Krzysztof J.  , Czarnecki      , University of Waterloo
Matthew E.    , Keller         , University of Waterloo
Md Sakib Ullah, Sourav         , Shandong University of Finance and Economics - Jinan
Michael       , Jamieson       , Sportlogiq
Mohamed       , Naiel          , University of Waterloo
Mohammad Ahmed, Basri          , University of Waterloo
Mohammad Javad, Shafiee        , University of Waterloo
Muhammed      , Patel          , University of Waterloo
Navid         , Shahsavari     , University of Waterlooo
Nicholas      , Pellegrino     , University of Waterloo
Olivia        , Markham        , University of Waterloo
Parthipan     , Siva           , Sportlogiq
Paul          , Marchwica      , Sportlogiq
Saed          , Moradi         , University of Waterloo
Saeejith      , Nair           , University of Waterloo
Seyed Ali     , Mousavi Fard   , AI researcher
Talha Ibn     , Mahmud         , Purdue University
Teodora       , Vujovic        , University of Waterloo
Veronika      , Magdanz        , University of Waterloo
Xinwei        , Chen           , University of Waterloo
Yan Song      , Hu             , University of Waterloo
Yichi         , Zhang          , Purdue University
Yifan         , Wu             , University of Waterloo
Yizhe         , Liu            , University of Waterloo
Yuan          , Fang           , University of Waterloo
Yuxiang       , Huang          , University of Waterloo
Zahid         , Butt           , University of Waterloo
Zara          , Cook           , University of Waterloo
Ziyue         , Xiang          , Purdue University
